ID,cog_num_1,cog_num_2,cog_num_3,cog_num_4,cog_num_5,cog_num_6,cog_ver_1,cog_ver_2,cog_ver_3,cog_ver_4,cog_ver_5,cog_ver_6,cog_abs_1,cog_abs_2,cog_abs_3,cog_abs_4,cog_abs_5,cog_abs_6,fdt_achiev,fdt_activ,fdt_altr,fdt_anger,fdt_anxie,fdt_assert,fdt_compet,fdt_compl,fdt_delib,fdt_depr,fdt_dutif,fdt_entit,fdt_excite,fdt_fant,fdt_gregar,fdt_impul,fdt_indiff,fdt_modest,fdt_order,fdt_self-ass,fdt_self-dis,fdt_shame,fdt_straight,fdt_tender,fdt_trust,fdt_vulner,fdt_warm
participant13,1,6,5,10,8,1,9,10,6,1,7,6,9,9,7,5,8,1,2,2,1,3,1,3,5,1,2,4,5,4,2,2,4,5,5,1,3,3,4,2,2,2,4,4,3
participant14,1,2,9,3,6,9,4,3,10,4,4,4,6,8,7,9,9,5,4,3,1,4,5,2,5,4,4,3,3,4,2,3,3,4,2,1,4,1,4,3,1,1,1,4,1
participant15,2,6,10,2,10,6,7,10,10,3,1,6,9,5,7,6,5,5,4,2,3,1,1,4,4,5,1,5,1,2,2,1,2,4,3,1,5,2,4,4,2,1,4,3,4
participant16,3,8,4,3,2,1,8,6,10,5,9,9,7,2,10,6,7,7,4,4,4,4,4,4,2,3,4,3,2,4,2,2,5,4,4,3,2,1,5,3,2,1,5,2,3
participant17,3,9,1,10,7,5,7,3,8,4,8,1,5,7,5,6,5,7,3,4,1,2,1,3,1,3,1,5,3,4,2,3,4,4,1,4,5,1,4,2,5,1,5,2,2
participant18,8,1,7,8,1,6,5,4,6,10,8,5,2,6,5,10,4,4,1,5,3,4,5,1,4,4,2,3,1,2,5,2,1,2,5,4,1,4,2,5,1,1,1,3,4
participant19,5,7,2,1,2,10,4,2,3,2,10,6,9,2,2,9,6,1,4,1,3,3,3,2,5,2,4,5,4,4,1,5,2,3,2,5,5,1,4,5,5,5,1,2,3
participant20,6,4,1,8,1,6,9,8,4,9,2,4,9,8,4,1,2,4,1,1,5,5,1,2,4,3,4,1,2,5,1,2,3,2,1,3,1,2,4,3,2,5,4,3,5
participant21,7,10,10,4,6,10,3,2,9,5,7,4,10,2,10,6,1,4,3,1,2,3,5,1,2,2,5,5,1,4,1,2,2,4,4,3,4,5,3,1,1,5,4,1,5
participant22,10,4,9,7,8,3,8,8,6,1,9,10,6,8,5,8,4,1,5,2,4,5,3,1,2,4,1,5,4,3,5,1,4,2,2,5,1,1,2,2,3,4,3,2,2
participant23,3,9,3,2,3,1,5,1,7,10,4,7,3,3,7,2,5,9,1,1,5,4,5,5,3,3,5,4,2,1,2,2,4,2,5,2,5,2,4,4,4,4,3,5,3
participant24,7,1,9,10,6,8,5,10,5,7,10,1,5,2,1,9,7,9,4,5,2,3,4,3,4,2,5,5,4,3,2,1,4,3,5,4,3,3,4,2,5,1,1,4,2
participant25,8,2,2,4,6,8,5,1,4,7,9,2,10,8,2,6,4,7,3,1,5,2,3,1,3,3,3,4,5,1,3,2,1,5,2,4,1,3,3,4,4,5,2,3,4
participant26,3,7,1,5,10,9,2,2,2,10,2,9,2,4,1,4,7,6,3,4,1,1,4,1,4,5,5,2,1,3,3,3,4,1,1,5,5,3,5,2,5,4,4,2,1
participant27,6,8,5,8,1,6,3,5,3,8,7,4,4,6,9,4,8,6,4,1,5,4,1,3,2,1,3,2,4,1,1,1,3,3,4,2,3,4,3,1,2,4,3,1,4
participant28,9,7,3,7,2,1,10,4,1,10,1,7,3,8,4,8,1,7,2,2,3,4,1,1,1,3,2,2,2,1,5,1,2,1,2,2,5,1,5,4,1,2,5,2,1
participant29,7,7,1,8,10,4,1,2,10,4,3,5,10,6,7,6,7,10,3,1,4,2,1,4,5,2,5,4,4,5,2,5,3,1,2,3,2,5,2,5,3,1,4,2,5
participant30,4,2,5,4,7,7,6,4,1,1,10,9,4,5,1,8,9,8,5,1,2,2,5,3,5,5,2,5,5,5,1,5,3,3,3,4,4,1,1,1,4,3,3,2,5
participant31,8,3,10,1,10,3,9,1,4,9,8,2,1,7,1,2,3,2,2,3,1,3,3,2,2,1,3,5,3,1,1,2,3,1,4,2,4,5,2,3,2,3,1,1,2
participant32,8,3,7,8,3,3,2,2,1,8,4,6,3,6,1,1,4,3,4,3,5,5,4,4,4,3,4,2,5,2,5,1,5,4,5,4,2,2,2,2,4,3,4,4,2
participant33,6,2,10,2,2,1,1,7,9,10,7,9,3,2,8,10,5,2,2,5,5,1,3,3,1,3,3,3,5,2,2,5,5,2,1,1,2,5,5,2,3,3,3,5,1
participant34,5,9,7,9,3,8,6,9,4,9,6,4,6,6,2,10,6,1,3,3,4,3,1,4,3,1,2,2,3,4,2,4,4,4,4,5,4,1,1,4,2,2,4,5,5
participant35,7,2,1,4,2,3,6,8,3,10,10,2,3,4,1,8,1,9,5,3,1,3,3,1,3,4,2,5,4,2,4,4,4,4,4,4,2,1,3,2,1,4,4,2,3
participant36,4,5,10,10,3,3,5,10,5,2,2,8,4,8,8,6,10,10,1,5,1,2,5,2,1,5,4,3,2,2,4,5,4,1,4,1,2,1,2,5,3,2,1,5,4
participant37,8,2,6,5,6,2,4,1,4,5,2,5,3,10,5,1,9,7,1,2,3,3,5,4,5,2,3,5,1,3,1,5,2,2,4,1,5,4,1,4,4,3,5,2,3
participant38,3,9,10,7,9,5,1,3,7,9,10,7,6,6,8,7,7,10,2,3,4,2,3,5,4,3,2,4,4,3,1,1,2,3,3,5,5,4,1,5,2,4,1,2,1
participant39,9,1,3,2,7,5,3,4,10,2,2,7,6,8,7,4,9,1,1,5,5,5,3,3,3,2,5,4,1,1,3,5,1,5,3,5,2,3,4,5,1,2,3,2,1
participant40,10,5,4,1,9,9,2,6,2,3,7,4,5,8,5,9,10,1,5,5,2,2,5,4,1,3,4,3,5,3,3,4,5,2,2,1,5,5,5,4,4,1,1,5,2
participant41,3,3,6,10,7,7,10,6,4,9,1,8,3,8,4,6,9,9,1,2,5,5,5,2,3,2,1,4,5,2,3,2,2,1,5,1,3,4,4,3,2,5,3,3,4
participant42,8,7,5,9,9,2,6,7,4,5,8,10,2,6,7,6,3,6,4,2,3,1,2,2,2,5,3,2,3,1,2,4,4,2,5,4,3,1,3,4,3,5,1,4,4
participant43,7,9,7,9,4,4,4,1,2,5,3,6,10,8,6,2,6,9,1,2,2,3,2,3,4,5,4,1,5,1,3,1,5,3,1,2,3,4,4,2,3,4,4,1,4
participant44,6,7,6,5,10,10,5,8,4,3,8,1,5,9,2,4,6,8,3,4,1,5,3,1,1,5,4,1,5,5,3,1,2,1,3,1,5,4,5,1,1,3,1,3,5
participant45,7,2,9,7,5,10,7,1,3,4,5,7,7,4,8,1,8,8,1,5,3,1,4,1,4,4,5,2,5,4,5,4,2,4,1,2,4,2,2,1,4,1,3,2,1
participant46,3,1,4,7,3,9,7,4,2,2,10,8,8,1,8,1,7,7,3,3,3,5,1,4,5,2,4,4,3,2,1,1,3,4,1,1,2,4,4,4,3,2,5,5,1
participant47,8,7,6,6,5,8,7,10,2,4,5,10,10,8,2,10,4,7,1,4,4,2,3,3,1,2,4,1,5,3,5,2,1,3,4,1,1,4,5,2,4,4,3,3,2
participant48,4,6,1,4,10,3,1,6,7,10,10,9,2,7,1,7,7,1,5,5,2,2,5,1,5,5,1,3,5,3,2,1,4,3,2,4,2,3,4,2,2,4,1,2,2
participant49,10,7,2,6,1,5,10,7,8,1,5,3,3,7,9,5,7,7,5,2,1,2,5,2,2,2,4,5,1,5,1,2,3,4,4,3,5,3,5,4,4,4,4,2,3
participant50,7,4,8,8,7,10,6,9,1,9,6,5,7,2,7,3,2,6,5,3,1,3,3,1,3,2,5,5,1,2,3,1,5,2,2,4,1,3,2,5,1,3,1,4,5
participant51,5,5,7,4,6,1,6,6,9,8,7,9,2,1,4,1,8,1,4,4,1,1,4,5,3,4,1,2,2,1,3,2,3,5,2,4,4,2,2,2,2,2,4,3,4
participant52,2,6,5,6,6,8,4,8,3,7,8,4,4,9,1,7,4,4,2,2,1,5,4,5,5,4,4,3,1,3,2,5,1,1,2,3,2,4,3,3,4,3,5,4,4
participant53,10,5,3,3,3,3,2,3,3,2,7,6,10,2,2,10,8,10,5,3,3,3,1,1,1,4,4,4,2,2,3,5,4,4,3,4,4,3,1,3,5,1,4,1,2
participant54,5,5,7,2,9,2,2,7,4,6,4,3,6,5,5,6,5,10,4,4,3,1,3,4,4,4,3,3,5,3,2,2,4,4,1,2,2,1,3,4,2,4,2,3,5
participant55,9,2,9,7,2,7,1,4,7,8,7,3,1,8,4,6,1,2,5,2,5,3,1,3,3,4,3,3,4,4,3,3,2,4,5,3,3,5,2,4,2,1,4,2,1
participant56,9,4,7,10,1,6,6,3,10,1,6,1,2,3,5,6,9,3,1,4,2,3,4,5,2,5,1,3,2,5,5,4,4,3,4,4,5,1,3,5,4,2,2,3,4
participant57,8,7,6,2,2,6,8,3,4,1,8,3,1,8,1,2,8,3,3,4,5,1,4,5,2,4,4,1,2,5,3,2,5,3,2,1,2,2,3,5,3,1,1,1,3
participant58,4,8,8,7,6,7,9,7,6,10,3,8,8,9,10,6,9,8,2,5,1,1,3,2,5,1,2,4,2,4,5,5,4,4,5,5,4,2,2,5,3,5,2,4,2
participant59,6,9,10,9,6,10,5,4,8,4,10,7,4,2,8,10,8,3,4,4,4,2,4,4,3,1,4,2,2,4,1,1,1,1,3,5,1,4,3,1,5,4,1,2,5
participant60,5,7,5,4,2,2,9,6,8,5,10,10,10,3,8,5,10,8,5,5,2,2,1,2,4,2,2,5,2,1,5,2,1,1,4,4,4,1,5,5,4,1,3,5,1
participant61,10,9,7,2,2,5,3,7,9,9,1,9,9,1,10,10,2,7,2,2,2,3,4,4,4,3,2,2,5,4,2,3,4,1,1,3,1,3,2,5,4,5,2,1,3
participant62,5,1,4,8,6,3,3,3,9,3,5,10,10,9,1,8,8,1,1,2,2,5,5,4,2,2,5,2,5,5,2,2,5,4,2,3,2,1,3,1,4,1,4,5,1
participant63,6,7,5,1,2,3,10,9,4,3,1,4,6,9,8,7,2,8,4,2,2,1,5,4,5,5,1,1,3,3,3,1,3,1,1,1,3,3,5,1,3,1,3,2,2
participant64,1,5,10,3,6,9,3,4,3,6,5,5,1,2,9,1,3,2,2,1,4,5,4,1,1,4,1,2,5,2,5,3,3,4,3,1,1,3,1,3,4,4,2,1,4
participant65,5,10,1,3,2,5,2,8,3,4,3,10,7,10,2,10,3,1,2,5,2,2,4,4,5,4,1,5,3,5,2,5,4,3,5,1,4,3,4,4,2,5,3,1,4
participant66,9,1,10,5,3,7,3,5,6,10,9,2,5,1,9,5,10,8,1,2,1,2,1,5,3,2,5,5,1,4,2,2,1,2,4,2,1,1,1,4,2,3,3,2,4
participant67,4,6,7,1,6,5,7,9,6,2,3,9,4,6,3,1,8,8,1,1,2,4,5,5,4,5,3,4,1,2,3,5,1,1,4,1,2,2,2,1,5,3,5,3,1
participant68,8,6,8,9,8,6,9,8,6,7,2,9,8,6,1,1,9,7,5,1,1,5,4,3,3,1,5,3,1,1,5,1,3,5,5,5,2,1,5,1,1,3,1,4,2
participant69,5,3,9,1,2,10,1,9,7,5,10,5,10,3,8,1,9,1,5,1,5,4,1,1,4,5,5,2,4,5,4,1,2,5,5,2,5,5,1,2,3,2,3,4,3
participant70,8,4,1,5,9,5,2,2,2,7,9,10,4,1,8,10,3,7,2,4,1,3,3,4,1,4,4,2,5,2,4,2,5,5,2,5,3,5,4,1,4,2,1,1,3
participant71,6,10,8,5,10,1,8,3,8,1,4,1,4,1,1,3,7,1,1,1,2,2,5,1,2,2,1,2,1,4,4,2,5,5,3,5,2,5,3,3,3,1,3,4,2
participant72,10,8,5,10,8,1,6,3,4,1,1,7,1,3,10,1,3,6,5,1,5,5,3,3,4,2,5,4,4,3,4,2,4,5,3,1,5,5,4,4,1,2,1,2,3
participant73,9,5,10,1,6,5,8,2,6,7,1,2,8,10,4,5,1,2,3,5,3,3,2,2,5,3,5,4,2,1,2,4,3,3,4,5,5,3,4,5,3,1,5,1,2
participant74,8,8,6,9,6,10,9,4,5,6,7,2,4,4,2,6,2,6,2,3,3,1,1,3,5,2,1,3,2,1,5,5,3,2,5,2,4,2,4,4,1,3,4,4,3
participant75,3,8,7,6,10,5,10,8,5,4,2,6,3,4,9,9,7,9,1,2,1,2,3,4,3,1,2,2,1,1,4,5,1,5,4,2,1,2,4,1,3,1,2,3,5
participant76,7,5,8,5,8,9,4,1,1,1,10,8,9,6,5,5,2,6,2,5,4,4,3,5,5,5,2,4,5,1,4,1,1,4,1,5,1,1,2,3,1,4,1,1,2
participant77,1,3,10,2,9,5,9,7,10,10,9,4,7,2,8,2,2,8,2,1,1,3,4,5,2,4,2,2,2,1,4,3,2,1,1,1,1,5,2,3,1,3,5,1,4
participant78,2,5,7,8,1,5,5,3,5,8,8,7,3,1,4,6,7,2,1,5,4,4,1,3,4,3,5,3,1,5,3,5,2,5,5,4,3,2,1,5,3,4,2,5,2
participant79,3,3,9,9,2,4,5,10,1,5,6,9,4,7,2,3,6,10,1,3,2,3,3,4,1,2,5,2,2,1,3,5,3,5,3,2,2,4,2,5,1,2,4,4,1
participant80,7,9,1,10,9,3,2,7,6,8,8,3,10,10,1,7,8,6,4,1,2,1,4,1,4,4,3,2,3,1,4,4,4,1,4,4,1,4,4,5,2,3,5,3,2
participant81,9,8,2,5,6,4,7,7,10,10,1,6,7,6,4,2,5,6,1,4,2,5,5,4,4,5,3,5,4,2,5,4,3,2,5,5,4,2,1,4,3,3,5,4,3
participant82,7,10,9,10,5,2,5,2,9,8,9,10,9,9,7,2,7,6,1,2,3,1,2,1,2,4,3,2,1,5,2,3,5,2,2,5,1,1,3,1,4,4,2,3,2
participant83,5,7,7,5,4,1,8,1,8,6,2,8,8,8,7,8,9,9,5,5,3,1,4,4,2,4,4,5,5,5,1,5,1,5,2,3,2,5,2,4,5,4,4,1,4
participant84,4,5,6,4,4,1,2,3,4,7,6,4,2,4,10,6,9,2,4,4,1,2,5,3,2,1,3,1,4,3,3,1,1,4,5,5,1,1,1,1,2,5,5,5,3
participant85,9,6,9,4,1,8,10,7,2,9,9,10,7,7,2,8,4,4,4,5,5,3,1,3,2,5,2,1,1,3,1,5,5,2,3,4,3,2,5,1,2,2,4,4,4
participant86,1,9,1,7,9,4,10,7,2,5,3,7,6,9,8,10,9,10,1,5,2,1,2,2,4,4,3,1,1,2,4,3,1,5,1,4,3,2,4,2,4,3,5,1,4
participant87,5,7,9,8,6,4,10,10,8,5,8,6,1,6,5,8,5,7,1,4,5,1,2,4,2,1,2,1,5,1,3,2,5,2,5,4,1,5,5,1,4,3,1,4,2
participant88,5,8,7,7,7,5,6,3,5,1,9,5,5,6,7,10,8,7,1,1,2,3,5,3,2,1,3,3,2,1,1,1,1,3,1,4,5,4,5,3,3,4,5,3,3
participant89,8,7,7,4,4,7,4,3,9,5,10,3,6,7,1,7,1,6,5,2,5,4,4,1,2,1,5,3,3,3,5,5,5,1,4,2,2,4,3,5,1,4,1,2,4
participant90,10,10,6,6,10,6,1,3,6,7,9,1,10,9,9,9,1,2,2,3,3,2,2,1,4,5,3,2,4,3,1,2,3,1,5,2,2,5,2,3,4,1,2,1,3
participant91,1,6,7,9,4,5,8,4,8,10,7,7,6,5,7,6,4,9,1,1,1,3,5,2,5,5,3,5,5,3,2,1,3,5,4,2,3,5,3,1,5,1,5,3,4
participant92,6,10,7,5,10,4,5,2,8,3,9,7,1,1,9,2,3,10,2,4,3,4,2,2,3,2,1,1,3,4,5,3,3,1,5,4,5,4,3,4,2,4,1,4,4
participant93,2,5,6,10,4,8,1,10,9,9,4,10,3,2,1,10,9,7,5,3,4,2,4,3,5,5,2,3,3,2,4,3,5,3,5,1,3,5,5,4,4,5,3,2,2
participant94,2,2,7,5,9,5,9,6,6,10,4,4,1,10,1,3,7,3,4,4,4,1,4,4,1,1,3,3,4,5,5,4,1,2,3,1,3,4,5,5,1,3,2,2,4
participant95,8,3,10,9,1,6,9,9,7,8,6,6,10,1,2,7,10,6,3,1,3,3,2,1,5,4,3,3,2,2,5,2,1,1,4,4,3,2,3,3,4,3,3,2,4
participant96,4,3,3,7,4,8,6,1,4,2,1,1,8,2,6,2,3,2,5,3,5,2,5,4,5,4,1,2,2,5,1,2,1,5,1,5,4,3,1,4,2,3,1,3,2
participant97,6,9,3,7,9,3,6,2,9,9,2,5,2,7,10,2,2,2,2,1,3,4,4,5,4,4,4,3,1,1,3,4,5,5,4,3,5,4,4,3,1,1,3,3,5
participant98,8,2,9,3,4,3,8,1,4,4,3,7,5,3,6,10,7,8,4,4,5,4,2,2,3,3,4,2,1,3,3,2,2,3,5,2,1,3,5,1,4,2,1,4,4
participant99,6,8,1,6,5,10,3,2,3,10,4,4,1,1,10,3,3,4,5,5,5,2,4,3,2,4,2,4,4,5,5,2,5,2,4,5,2,4,4,3,2,1,1,5,4
participant100,6,8,3,3,6,4,3,2,1,9,4,4,10,2,1,1,3,4,2,2,5,2,2,4,4,5,2,3,3,4,4,2,3,4,4,1,4,2,1,3,3,4,5,5,4
participant101,9,8,10,1,3,5,7,2,3,7,2,2,9,3,10,3,2,5,1,4,2,1,1,1,3,4,1,2,5,2,1,1,3,3,1,3,2,5,1,5,2,5,2,4,5
participant102,6,1,3,7,7,4,3,10,10,8,10,5,6,4,5,2,7,6,2,3,5,5,5,5,5,4,5,3,5,5,3,4,5,2,5,5,1,1,1,1,4,4,3,2,5
participant103,6,7,3,9,6,2,9,2,2,1,9,4,1,10,8,10,8,3,4,2,4,4,4,5,3,3,2,3,5,1,5,4,3,3,4,4,5,4,2,1,5,1,2,3,5
participant104,4,5,8,7,1,5,7,6,5,9,7,9,3,2,1,9,5,3,1,5,3,2,1,3,1,3,1,1,5,4,3,1,2,5,4,2,2,2,5,2,4,2,2,2,4
participant105,6,7,5,6,9,1,7,7,8,5,1,5,6,8,10,2,10,10,1,4,3,5,3,3,3,1,5,5,2,3,3,3,4,5,1,2,2,4,1,1,3,4,2,4,1
participant106,7,7,7,7,5,2,2,3,5,4,5,9,1,10,3,4,6,3,3,4,1,2,3,3,1,2,4,4,4,1,3,4,1,5,3,2,2,3,4,5,1,4,3,1,2
participant107,4,3,2,1,9,3,9,2,9,10,6,3,2,1,5,2,9,7,2,5,5,4,2,2,4,4,4,3,2,1,2,3,5,2,3,1,2,1,5,3,1,5,5,2,3
participant108,4,10,9,4,1,6,4,10,10,7,3,5,7,7,4,8,5,2,5,5,4,5,4,5,5,1,2,3,4,3,5,5,1,4,5,5,1,1,2,4,2,5,1,5,3
participant109,2,10,8,5,3,4,1,1,3,10,7,3,5,7,3,9,9,9,2,1,5,1,5,2,4,3,2,3,2,4,5,2,3,4,3,3,1,3,4,2,2,3,1,3,3
participant110,7,9,5,10,1,7,3,9,5,4,10,7,9,10,5,10,10,1,1,1,3,2,3,1,4,2,5,3,2,3,2,2,2,1,1,2,2,1,1,3,4,5,5,3,1
participant111,2,1,7,7,8,6,10,4,9,3,6,6,7,8,1,5,4,1,2,3,3,5,4,4,3,5,3,5,2,4,1,2,3,3,1,1,1,4,5,3,1,3,1,2,1
participant112,5,6,10,2,5,7,3,4,9,4,5,10,3,1,9,10,4,4,1,2,3,2,1,5,3,2,5,2,3,3,5,3,4,1,2,3,5,1,5,4,5,1,3,3,3
participant113,2,2,7,6,1,7,2,10,3,3,7,1,5,10,8,5,10,2,3,3,5,1,5,5,5,3,2,3,4,2,1,5,5,4,5,4,5,3,3,1,1,1,4,1,4
participant114,4,2,4,4,8,9,6,8,5,9,3,9,5,1,8,1,9,2,4,3,5,1,4,4,2,3,1,5,5,1,2,1,2,1,2,4,2,3,3,2,4,2,1,3,5
participant115,4,3,3,4,5,1,3,3,4,5,9,10,5,3,4,1,7,4,5,5,5,3,4,4,5,3,3,4,1,3,4,4,3,3,4,4,3,2,5,4,3,3,3,1,5
participant116,1,7,5,7,8,2,6,8,9,10,10,7,4,6,5,1,2,2,3,1,1,2,4,2,4,4,1,1,1,2,5,2,3,5,1,5,4,5,1,1,5,5,4,3,2
participant117,1,5,8,10,10,4,4,6,6,6,1,5,3,10,10,10,2,10,2,2,4,3,2,2,4,3,5,2,3,4,4,2,3,4,3,5,4,4,2,2,4,4,3,2,2
participant118,5,3,8,7,5,10,1,5,8,3,6,10,5,6,4,3,2,3,3,5,3,5,5,3,5,4,1,1,4,1,4,3,2,5,2,2,5,5,2,4,4,2,5,3,3
participant119,10,9,6,7,7,5,5,6,4,10,1,6,7,2,8,5,9,8,3,3,2,5,2,1,3,1,1,1,3,3,4,4,4,1,3,4,2,1,1,2,4,4,5,3,2
participant120,10,5,5,10,8,10,4,2,5,5,4,10,7,1,2,1,9,10,3,5,3,2,3,1,2,5,3,4,5,1,3,5,4,2,5,4,1,4,3,5,5,1,3,4,2
participant121,2,5,3,10,4,4,2,9,7,6,3,1,1,10,7,8,10,4,3,1,3,3,3,2,1,2,4,5,1,1,4,3,5,5,3,4,1,1,1,3,5,5,3,1,3
participant122,10,7,2,10,2,1,7,8,5,10,5,4,8,4,6,9,4,1,5,4,1,5,1,3,2,1,1,1,1,5,2,2,1,2,3,4,3,1,5,2,3,2,4,3,5
participant123,4,6,3,2,6,8,4,6,8,2,6,10,7,9,3,7,4,5,5,2,4,5,2,1,1,4,4,4,2,4,4,1,2,2,1,1,3,2,3,5,2,1,1,3,5
participant124,10,6,6,8,2,9,10,1,3,2,7,5,5,1,2,1,7,5,2,5,5,5,2,4,2,3,5,1,5,2,5,5,4,1,2,5,3,3,1,5,3,1,5,3,2
participant125,10,5,4,2,10,3,4,10,7,3,1,1,3,10,10,9,3,3,1,3,4,4,5,2,4,5,2,1,1,2,3,5,1,3,3,1,2,4,1,4,5,2,1,5,5
participant126,5,10,6,7,8,6,1,10,1,3,2,10,4,9,1,6,2,8,1,5,2,3,3,3,3,2,5,5,2,2,3,4,1,2,5,1,2,2,1,2,2,5,2,5,2
participant127,8,10,1,6,3,3,9,2,9,10,2,4,6,3,8,4,2,9,3,1,1,2,1,2,5,5,5,4,2,4,3,3,1,5,2,3,4,1,3,4,2,4,4,4,5
participant128,7,4,5,1,10,5,3,10,2,2,7,7,4,10,9,5,7,8,3,4,3,3,5,3,5,2,4,2,2,5,2,2,4,1,2,1,1,4,2,3,4,2,3,1,4
participant129,10,6,2,10,4,8,5,10,8,3,7,9,6,7,5,4,10,5,2,5,1,5,3,1,3,4,2,3,4,2,2,3,4,3,1,3,4,1,1,2,5,3,3,3,1
participant130,1,4,4,6,10,7,6,3,4,4,1,6,6,8,8,8,8,4,3,5,1,1,2,1,2,4,2,2,4,3,2,3,4,3,1,5,5,1,2,4,3,5,5,3,2
participant131,1,7,9,2,9,6,10,4,8,5,10,8,3,2,3,1,2,9,3,2,1,5,1,2,3,2,4,1,1,5,2,3,5,2,3,4,1,1,5,3,4,3,1,1,1
participant132,7,6,4,3,6,5,1,3,10,6,8,6,5,1,3,10,2,10,2,3,1,2,2,4,4,1,3,1,3,3,2,5,3,2,4,1,1,2,3,2,4,4,4,2,4
participant133,1,10,8,5,3,6,9,8,2,3,8,4,9,10,2,6,8,10,2,1,1,3,1,2,5,2,5,3,5,4,4,5,2,2,2,1,4,4,2,4,4,4,5,4,1
participant134,2,10,2,7,10,1,9,2,7,4,4,8,3,9,10,3,7,7,1,1,1,4,2,5,3,2,2,2,5,1,3,5,5,3,4,4,4,3,4,1,3,4,3,4,4
participant135,10,1,7,6,4,10,1,9,5,3,3,9,1,6,6,6,3,4,3,3,3,2,1,3,1,5,3,1,1,3,3,5,2,4,1,4,5,2,4,2,5,1,1,4,5
participant136,9,3,8,10,4,9,4,9,7,6,8,5,10,4,4,8,10,3,2,2,4,1,1,5,4,2,5,2,3,2,3,2,4,1,2,2,4,4,2,5,4,1,1,2,4
participant137,4,9,4,6,3,8,4,1,8,8,3,4,10,3,8,10,5,4,1,3,2,3,4,2,1,4,5,3,5,3,4,1,3,2,1,5,4,3,1,2,1,1,2,1,5
participant138,1,5,4,5,7,4,5,1,10,10,5,9,1,6,3,8,5,8,4,3,1,2,2,2,3,1,4,5,4,4,2,5,4,5,4,1,2,4,2,4,1,5,4,5,4
participant139,5,9,9,6,1,6,1,10,2,9,2,3,1,1,3,9,1,3,3,4,1,1,3,5,1,4,3,1,2,4,4,2,4,5,1,5,2,2,5,3,1,5,4,4,3
participant140,6,7,7,6,7,6,4,5,4,1,7,10,9,9,8,5,1,4,3,5,2,1,5,4,1,4,5,5,2,3,1,1,5,4,4,4,3,2,1,4,2,1,5,1,4
participant141,10,8,4,1,9,7,9,8,6,5,6,5,4,1,9,4,9,5,1,3,5,1,4,2,5,2,2,5,3,1,3,2,4,2,2,3,3,4,5,1,2,5,1,4,2
